,index,created_at,id,user id,full_text,localidad,retweet_count,favorite_count,clasification,tidy_text,CleanTweets,TokenizeTweetsTidy_text
0,1,12/10/2020 02:30,1.32e+18,1.14723e+18,"¡ESTO NO LO VISTE DE @lopezobrador_  EN VERDAD LL0RÓ!, AL DAR ESTE MENSAJE ROMPE EN LLANTO 
EL PRESIDENTE  ANDRÉS MANUEL LÓPEZ OBRADOR .
DE MÉXICO.🇲🇽👇🥺 Viva #AMLO 👉@fernandeznorona 
Dios los bendiga.
https://t.co/xBWpvRr3CV",Aquí! en mi México Querido.,0,0,0.0,viste @lopezobrador_ verdad ll0ro dar mensaje rompe llanto presidente andres manuel lopez obrador mexico.🇲🇽👇🥺 viva #amlo 👉@fernandeznorona dios bendiga. https://t.co/xbwpvrr3cv,viste lopezobrador_ verdad ll0ro dar mensaje rompe llanto presidente andres manuel lopez obrador mexico.🇲🇽👇🥺 viva amlo 👉fernandeznorona dios bendiga. ,"['viste', 'lopezobrador_', 'verdad', 'll0ro', 'dar', 'mensaje', 'rompe', 'llanto', 'presidente', 'andres', 'manuel', 'lopez', 'obrador', 'mexico.🇲🇽👇\U0001f97a', 'viva', 'amlo', '👉fernandeznorona', 'dios', 'bendiga', '.']"
1,6,19/10/2020 12:08,1.32e+18,300504997.0,"El ejército mexicano no volverá a operar con la impunidad que estaba acostumbrados. la 4T va por ellos, desafortunadamente muchas serán las consecuencias comenzando por Puebla.
@PonchoPosa
@pueblapreciosa
@PoderPoliticoMx
@InformantePueb
@contracritica
https://t.co/qn7zREx2oO https://t.co/JaDMn3IcdW",Mexico,0,0,0.0,ejercito mexicano volvera operar impunidad acostumbrados. 4t va desafortunadamente muchas seran consecuencias comenzando puebla. @ponchoposa @pueblapreciosa @poderpoliticomx @informantepueb @contracritica https://t.co/qn7zrex2oo https://t.co/jadmn3icdw,ejercito mexicano volvera operar impunidad acostumbrados. 4t va desafortunadamente muchas seran consecuencias comenzando puebla. ponchoposa pueblapreciosa poderpoliticomx informantepueb contracritica  ,"['ejercito', 'mexicano', 'volvera', 'operar', 'impunidad', 'acostumbrados', '.', '4t', 'va', 'desafortunadamente', 'muchas', 'seran', 'consecuencias', 'comenzando', 'puebla', '.', 'ponchoposa', 'pueblapreciosa', 'poderpoliticomx', 'informantepueb', 'contracritica']"
2,8,19/10/2020 12:08,1.32e+18,1.24706e+18,Ya tengo listas las palomitas para ver la mañanera de hoy!!,,0,0,0.0,listas palomitas ver mañanera hoy,listas palomitas ver mañanera hoy,"['listas', 'palomitas', 'ver', 'mañanera', 'hoy']"
3,10,19/10/2020 12:08,1.32e+18,7.94265e+17,"""Gobierno del pueblo, para el pueblo y con el pueblo."" AMLO

Conferencia de prensa matutina. Lunes 19 de octubre 2020:

https://t.co/gqraK9t5cg",,0,0,0.0,gobierno pueblo pueblo pueblo. amlo conferencia prensa matutina. lunes octubre 2020: https://t.co/gqrak9t5cg,gobierno pueblo pueblo pueblo. amlo conferencia prensa matutina. lunes octubre 2020: ,"['gobierno', 'pueblo', 'pueblo', 'pueblo', '.', 'amlo', 'conferencia', 'prensa', 'matutina', '.', 'lunes', 'octubre', '2020', ':']"
4,15,19/10/2020 12:08,1.32e+18,716722155.0,"En el 18, MORENA era AMLO.
Es cuanto.",Ciudad de México,0,0,0.0,morena amlo. cuanto.,morena amlo. cuanto.,"['morena', 'amlo', '.', 'cuanto', '.']"
5,21,19/10/2020 12:07,1.32e+18,587742922.0,"@margaritomayelo Brother cuál es ese México ? Mi opinión es que democráticamente solo han ganado Fox y AMLO, y mira con lo que salieron, los demás han sido fraudes como los de Ávila Camacho, Salinas, Calderón y peña nieto o por dedazo como todos los demás.",Coatzacoalcos Ver. Mx,0,0,0.0,@margaritomayelo brother mexico opinion democraticamente solo ganado fox amlo mira salieron demas sido fraudes avila camacho salinas calderon peña nieto dedazo demas.,margaritomayelo brother mexico opinion democraticamente solo ganado fox amlo mira salieron demas sido fraudes avila camacho salinas calderon peña nieto dedazo demas.,"['margaritomayelo', 'brother', 'mexico', 'opinion', 'democraticamente', 'solo', 'ganado', 'fox', 'amlo', 'mira', 'salieron', 'demas', 'sido', 'fraudes', 'avila', 'camacho', 'salinas', 'calderon', 'peña', 'nieto', 'dedazo', 'demas', '.']"
6,22,19/10/2020 12:07,1.32e+18,185319924.0,"@aracelibs @lopezobrador_ Presidente Andrés Manuel 

De la manera más atenta y respetuosa 

Hoy le exijo la renovación o desaparición del INE 

Ya que se demostró que no está a la altura de las exigencias requeridas para garantizar elecciones limpias 
Y veraces 

Viva la 4T",México,0,0,0.0,@aracelibs @lopezobrador_ presidente andres manuel manera mas atenta respetuosa hoy exijo renovacion desaparicion ine demostro altura exigencias requeridas garantizar elecciones limpias veraces viva 4t,aracelibs lopezobrador_ presidente andres manuel manera mas atenta respetuosa hoy exijo renovacion desaparicion ine demostro altura exigencias requeridas garantizar elecciones limpias veraces viva 4t,"['aracelibs', 'lopezobrador_', 'presidente', 'andres', 'manuel', 'manera', 'mas', 'atenta', 'respetuosa', 'hoy', 'exijo', 'renovacion', 'desaparicion', 'ine', 'demostro', 'altura', 'exigencias', 'requeridas', 'garantizar', 'elecciones', 'limpias', 'veraces', 'viva', '4t']"
7,23,19/10/2020 12:07,1.32e+18,8.48644e+17,"@eveyhugo96 Eso es culpa de la Batalla de Puebla, pero ya el Gran Mesias lo va a arreglar en el discurso de la mañanera",,0,0,0.0,@eveyhugo96 culpa batalla puebla gran mesias va arreglar discurso mañanera,eveyhugo96 culpa batalla puebla gran mesias va arreglar discurso mañanera,"['eveyhugo96', 'culpa', 'batalla', 'puebla', 'gran', 'mesias', 'va', 'arreglar', 'discurso', 'mañanera']"
8,26,19/10/2020 12:07,1.32e+18,1.30693e+18,"@aramirezcuellar @CENMorenaMX Espero que tenga auto-cririca , porque esa derrota es suya. Solo a pasado de error en errores , en pugna interna, sabía palabra de AMLO demaciado partido para tan poca dirigencia..",,0,0,0.0,@aramirezcuellar @cenmorenamx espero auto-cririca derrota suya. solo pasado error errores pugna interna sabia palabra amlo demaciado partido tan poca dirigencia,aramirezcuellar cenmorenamx espero auto-cririca derrota suya. solo pasado error errores pugna interna sabia palabra amlo demaciado partido tan poca dirigencia,"['aramirezcuellar', 'cenmorenamx', 'espero', 'auto-cririca', 'derrota', 'suya', '.', 'solo', 'pasado', 'error', 'errores', 'pugna', 'interna', 'sabia', 'palabra', 'amlo', 'demaciado', 'partido', 'tan', 'poca', 'dirigencia']"
9,30,19/10/2020 12:07,1.32e+18,253908701.0,"@lopezobrador_ AMLO y Mexico, un soldado en cada mexicano Dios te dio.",Los Angeles,0,0,0.0,@lopezobrador_ amlo mexico soldado cada mexicano dios dio.,lopezobrador_ amlo mexico soldado cada mexicano dios dio.,"['lopezobrador_', 'amlo', 'mexico', 'soldado', 'cada', 'mexicano', 'dios', 'dio', '.']"
10,31,19/10/2020 12:07,1.32e+18,548664982.0,Vénganse a escuchar la mañanera. https://t.co/tHMDPjEhtv,,0,1,0.0,venganse escuchar mañanera. https://t.co/thmdpjehtv,venganse escuchar mañanera. ,"['venganse', 'escuchar', 'mañanera', '.']"
11,35,19/10/2020 12:06,1.32e+18,1.27882e+18,"🔴#EnVivo | Sintoniza la #Mañanera con el presidente @lopezobrador_. 

Acompáñanos a través de @C21Noticias en la señal de @Capital_21.

#CorazónDeLaCapital 💚 #DerechoALaInformación

https://t.co/YrXzFAXk8Q","Moras 533, Del Valle Sur, CDMX",0,0,0.0,🔴#envivo sintoniza #mañanera presidente @lopezobrador_. acompañanos traves @c21noticias señal @capital_21. #corazondelacapital #derechoalainformacion https://t.co/yrxzfaxk8q,🔴envivo sintoniza mañanera presidente lopezobrador_. acompañanos traves c21noticias señal capital_21. corazondelacapital derechoalainformacion ,"['🔴envivo', 'sintoniza', 'mañanera', 'presidente', 'lopezobrador_', '.', 'acompañanos', 'traves', 'c21noticias', 'señal', 'capital_21', '.', 'corazondelacapital', 'derechoalainformacion']"
12,39,19/10/2020 12:06,1.32e+18,1.06922e+18,@lopezobrador_ Vengo a ver cuántos de la oposición realmente derrotada vienen a dejar sus comentarios y sus muchísimos robots y sus poquitos seguidores porque le duele que la 4t avanza como la espuma y les ganaremos en el 2021 y 2024 mecansoganso cabrones,"Moscú, Rusia",0,0,0.0,@lopezobrador_ vengo ver cuantos oposicion realmente derrotada vienen dejar comentarios muchisimos robots poquitos seguidores duele 4t avanza espuma ganaremos mecansoganso cabrones,lopezobrador_ vengo ver cuantos oposicion realmente derrotada vienen dejar comentarios muchisimos robots poquitos seguidores duele 4t avanza espuma ganaremos mecansoganso cabrones,"['lopezobrador_', 'vengo', 'ver', 'cuantos', 'oposicion', 'realmente', 'derrotada', 'vienen', 'dejar', 'comentarios', 'muchisimos', 'robots', 'poquitos', 'seguidores', 'duele', '4t', 'avanza', 'espuma', 'ganaremos', 'mecansoganso', 'cabrones']"
13,41,19/10/2020 12:06,1.32e+18,1005118572.0,Colegas en pro de nuestro Presidente de Mexico les deseo una extraordinaria semana y sigamos el  rumbo de Mexico con AMLO. Que orgullo de presidente. Saludos a todos. 🤗🐾,,0,1,0.0,colegas pro presidente mexico deseo extraordinaria semana sigamos rumbo mexico amlo. orgullo presidente. saludos todos. 🤗🐾,colegas pro presidente mexico deseo extraordinaria semana sigamos rumbo mexico amlo. orgullo presidente. saludos todos. 🤗🐾,"['colegas', 'pro', 'presidente', 'mexico', 'deseo', 'extraordinaria', 'semana', 'sigamos', 'rumbo', 'mexico', 'amlo', '.', 'orgullo', 'presidente', '.', 'saludos', 'todos', '.', '🤗🐾']"
14,43,19/10/2020 12:06,1.32e+18,253908701.0,@lopezobrador_ Al grito de guerra con AMLO,Los Angeles,0,1,0.0,@lopezobrador_ grito guerra amlo,lopezobrador_ grito guerra amlo,"['lopezobrador_', 'grito', 'guerra', 'amlo']"
15,44,19/10/2020 12:06,1.32e+18,1127146646.0,"🔴#EnVivo | Sintoniza la #Mañanera con el presidente @lopezobrador_. 

Acompáñanos a través de @C21Noticias en la señal de @Capital_21.

#CorazónDeLaCapital 💚 #DerechoALaInformación https://t.co/5PLJem276L",Ciudad de México,0,0,0.0,🔴#envivo sintoniza #mañanera presidente @lopezobrador_. acompañanos traves @c21noticias señal @capital_21. #corazondelacapital #derechoalainformacion https://t.co/5pljem276l,🔴envivo sintoniza mañanera presidente lopezobrador_. acompañanos traves c21noticias señal capital_21. corazondelacapital derechoalainformacion ,"['🔴envivo', 'sintoniza', 'mañanera', 'presidente', 'lopezobrador_', '.', 'acompañanos', 'traves', 'c21noticias', 'señal', 'capital_21', '.', 'corazondelacapital', 'derechoalainformacion']"
16,45,19/10/2020 12:06,1.32e+18,249005175.0,"@AntonioAttolini No milito en ningún partido, soy obradorista al 100, no hay más liderazgo que AMLO conozco miles de viejos que dejaron su militancia para formar MORENA desde sus inicios y fueron aplastados por liderazgos impuestos desde el centro, falta más honestidad política de sus ""líderes"".",Jalisco 🌐Telegram: @hekglez,0,0,0.0,@antonioattolini milito ningun partido obradorista mas liderazgo amlo conozco miles viejos dejaron militancia formar morena inicios aplastados liderazgos impuestos centro falta mas honestidad politica lideres .,antonioattolini milito ningun partido obradorista mas liderazgo amlo conozco miles viejos dejaron militancia formar morena inicios aplastados liderazgos impuestos centro falta mas honestidad politica lideres .,"['antonioattolini', 'milito', 'ningun', 'partido', 'obradorista', 'mas', 'liderazgo', 'amlo', 'conozco', 'miles', 'viejos', 'dejaron', 'militancia', 'formar', 'morena', 'inicios', 'aplastados', 'liderazgos', 'impuestos', 'centro', 'falta', 'mas', 'honestidad', 'politica', 'lideres', '.']"
17,46,19/10/2020 12:06,1.32e+18,9.64024e+17,"@lopezobrador_ Duro contra los chayoteros, Sicarios de información y desinformadores del antiguo régimen de privilegios y corrupción estamos contigo #AMLO",Bosnia y Herzegovina,1,3,0.0,@lopezobrador_ duro chayoteros sicarios informacion desinformadores antiguo regimen privilegios corrupcion contigo #amlo,lopezobrador_ duro chayoteros sicarios informacion desinformadores antiguo regimen privilegios corrupcion contigo amlo,"['lopezobrador_', 'duro', 'chayoteros', 'sicarios', 'informacion', 'desinformadores', 'antiguo', 'regimen', 'privilegios', 'corrupcion', 'contigo', 'amlo']"
18,47,19/10/2020 12:06,1.32e+18,216564258.0,UN RECOCIMIEMTO MUNDIAL A LA 4T https://t.co/wAin584MKp,"Matamoros, Tamaulipas , Mex",0,0,0.0,recocimiemto mundial 4t https://t.co/wain584mkp,recocimiemto mundial 4t ,"['recocimiemto', 'mundial', '4t']"
19,48,19/10/2020 12:06,1.32e+18,1.26808e+18,"#EnVivo #Mexico #ConferenciaMatutina la mañanera #AMLO #FelizLunes #19Octubre - https://t.co/rZNt3MWeDa vía @YouTube

#EsUnHonorLucharConObrador
#TodosSomosAMLO 
#NoronaNoEstaSolo 

VotoX🇲🇽 #4T 👊🏻

#AMLOEstamosContigo #RedEnDefensaDeAMLO #AMLOVERS #RedAMLO

#QuedateEnCasa",Bloqueado en Twitter 5 veces,0,0,0.0,#envivo #mexico #conferenciamatutina mañanera #amlo #felizlunes #19octubre https://t.co/rznt3mweda via @youtube #esunhonorlucharconobrador #todossomosamlo #noronanoestasolo votox🇲🇽 #4t 👊🏻 #amloestamoscontigo #redendefensadeamlo #amlovers #redamlo #quedateencasa,envivo mexico conferenciamatutina mañanera amlo felizlunes 19octubre  via youtube esunhonorlucharconobrador todossomosamlo noronanoestasolo votox🇲🇽 4t 👊🏻 amloestamoscontigo redendefensadeamlo amlovers redamlo quedateencasa,"['envivo', 'mexico', 'conferenciamatutina', 'mañanera', 'amlo', 'felizlunes', '19octubre', 'via', 'youtube', 'esunhonorlucharconobrador', 'todossomosamlo', 'noronanoestasolo', 'votox🇲🇽', '4t', '👊🏻', 'amloestamoscontigo', 'redendefensadeamlo', 'amlovers', 'redamlo', 'quedateencasa']"
